Job Title,Publish Date,Closing Date,Position Level,Year Experience,Number of Hiring,Salary Range (Min),Salary Range (Max),Gender,Age,Term,Job Category,Industry,Education Level,Language 1,Langue level 1,Langue 2,Language level 2,Language 3,Language level 3,Location 1,Location 2,Location 3,Location 4,Location 5,Location 6,Location 7,Duration of Recruiting,Major 1,Major 2,Major 3,Major 4
BUSINESS ANALYST,"Tuesday, August 16, 2022","Thursday, September 15, 2022",Medium Skill,None,3,$500,$999,Male/Female,Age Unlimited,Full-Time,Management,Banking & Finance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,Computer Science,,
Backend Developer,"Thursday, September 8, 2022","Saturday, October 8, 2022",Medium Skill,None,3,,,Male/Female,Age Unlimited,Full-Time,IT,Information Technology,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,,,
Software QA Tester,"Thursday, September 8, 2022","Saturday, October 8, 2022",Medium Skill,1,3,,,Male/Female,Age Unlimited,Full-Time,IT,Information Technology,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,,,
Network Engineer,"Thursday, August 18, 2022","Saturday, September 17, 2022",Low Skill,1,3,,,Male/Female,At least 18,Full-Time,IT,Telecommunication,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,Telecoms and Networking,,
Senior Officer- Mobile Application Development (Phnom Penh),"Monday, September 12, 2022","Wednesday, October 12, 2022",Medium Skill,3,3,,,Male/Female,Age Unlimited,Full-Time,Food & Beverages,Food & Beverages,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,,,
Web Developer ($500-$1K) Tomnub Kob Srov,"Monday, September 12, 2022","Wednesday, October 12, 2022",Medium Skill,2,3,$500,$999,Male/Female,At least 18,Full-Time,General Business Services,General Business Services,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,Computer Science,,
"Graphic Design ( $300- $ 400 ),​ បឹងរាំង ខណ្ឌដូនពេញ.","Monday, August 29, 2022","Wednesday, September 28, 2022",Low Skill,1,2,$200,$500,Male/Female,At least 18,Full-Time,Design,General Business Services,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,,,
Stock Keeper (AnAnA Computer),"Monday, August 15, 2022","Wednesday, September 14, 2022",Low Skill,1,2,,,Male/Female,At least 18,Full-Time,Logistics/Shipping/Deliver/Warehouse,Electronics/Electrical/Mechanical Equipment,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,,,
Graphic Designer ( very Urgent ),"Thursday, September 8, 2022","Saturday, October 8, 2022",None,1,2,,,Male/Female,At least 25,Full-Time,Architecture/Engineering,Architecture/Building/Construction,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,,,
Data Analyst officer,"Tuesday, August 30, 2022","Thursday, September 29, 2022",Medium Skill,1,2,,,Male/Female,At least 18,Full-Time,Technician/Maintenance,Banking & Finance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Data Science,Computer Science,Information Technology,Telecoms and Networking
IT Engineer,"Monday, August 22, 2022","Wednesday, September 21, 2022",Medium Skill,3,2,,,Male/Female,At least 18,Full-Time,IT,Real Estate,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,Information Technology,,
IT Support Team Leader,"Saturday, August 27, 2022","Monday, September 26, 2022",High Skill,3,2,,,Male,At least 25,Full-Time,IT,Information Technology,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,Information Technology,,
IT-Programmer ( 2 Posts),"Thursday, August 25, 2022","Saturday, September 24, 2022",Medium Skill,2,2,,,Male,At least 18,Full-Time,IT,Food & Beverages,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,Information Technology,,
Head of IT,"Thursday, August 18, 2022","Saturday, September 17, 2022",Medium Skill,7,2,,,Male/Female,Age Unlimited,Full-Time,IT,Insurance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,Computer Science,,
Flutter Development,"Friday, August 12, 2022","Sunday, September 11, 2022",Medium Skill,3,2,,,Male/Female,Age Unlimited,Full-Time,IT,Education,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,,,
"Developer, Application Development","Friday, September 9, 2022","Sunday, October 9, 2022",Medium Skill,2,2,,,Male/Female,Age Unlimited,Full-Time,IT,Trading,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,,,
C# Developer,"Monday, September 5, 2022","Wednesday, October 5, 2022",Medium Skill,None,2,,,Male/Female,Age Unlimited,Full-Time,IT,Wholesale/Retail,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,Information Technology,,
"Senior Officer, System and Application","Monday, September 5, 2022","Wednesday, October 5, 2022",Medium Skill,3,2,,,Male/Female,Age Unlimited,Full-Time,Merchandising/Purchasing,Banking & Finance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,,,
